title,vote_average,vote_count,release_date,revenue,overview,poster_path,youtubeId
Inception,8.364,34495,2010-07-15,825532764,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,xitHF0IPJSQ
Interstellar,8.417,32571,2014-11-05,701729206,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,Rt2LHkSwdPQ
The Dark Knight,8.512,30619,2008-07-16,1004558444,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",/qJ2tW6WMUDux911r6m7haRef0WH.jpg,z0Wtq_2KOew
Avatar,7.573,29815,2009-12-15,2923706026,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,5MB3Ea6L-gw
Fight Club,8.438,27238,1999-10-15,100853753,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,SUXWAEX2jlg
Guardians of the Galaxy,7.906,26638,2014-07-30,772776600,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,b7yOuhI1dzU
Pulp Fiction,8.488,25893,1994-09-10,213900000,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,s7EdQ4FqbhY
Forrest Gump,8.477,25409,1994-06-23,677387716,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,bLvqoHBptjg
Iron Man,7.64,24874,2008-04-30,585174222,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,KAE5ymVLmZg
Django Unchained,8.171,24672,2012-12-25,425368238,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,22kz8C9glCk
Joker,8.168,23425,2019-10-01,1074458282,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,D_mqjudMrAc
Shutter Island,8.2,22318,2010-02-14,294800000,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg,5iaYLCiq5RM
Iron Man 3,6.928,21064,2013-04-18,1215577205,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg,YLorLVa95Xo
Doctor Strange,7.427,20935,2016-10-25,676343174,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg,ryOsDRg5pFQ
Harry Potter and the Chamber of Secrets,7.721,20390,2002-11-13,876688482,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,3EGojp4Hh6I
Captain America: The First Avenger,6.995,20269,2011-07-22,370569774,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,jX-dpQAginE
Harry Potter and the Prisoner of Azkaban,8.02,20038,2004-05-31,789804554,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,lAxgztbYDbs
Thor,6.768,20023,2011-04-21,449326618,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,uHBnrJowBZE
