movie_title,cinema_name,date_time
Hitchcock,Riviera Cinema,2024-09-12 06:17:39
Harry Potter and the Prisoner of Azkaban,Regal Cinema,2024-09-03 18:57:14
My Tutor,Starlight Theatre,2024-09-18 16:21:53
Housebound,Starlight Theatre,2024-09-07 17:11:41
Head in the Clouds,CineStar Plaza,2024-09-18 20:22:08
The First Movie,Grand View Cinema,2024-09-21 06:11:13
God's Not Dead,Galaxy Cinema,2024-09-01 18:18:28
Urbanized,CineStar Plaza,2024-09-13 08:10:16
Disconnect,Grand View Cinema,2024-08-30 13:19:43
Expelled: No Intelligence Allowed,Starlight Theatre,2024-09-20 01:09:01
Middle Men,Riviera Cinema,2024-09-02 02:46:59
Kahaani,Starlight Theatre,2024-09-01 11:58:01
Police Academy 3: Back in Training,Starlight Theatre,2024-09-16 18:48:48
Kids in America,Riviera Cinema,2024-08-30 20:06:00
Batman: Under the Red Hood,CineStar Plaza,2024-09-23 23:55:51
Ronal the Barbarian,Regal Cinema,2024-09-04 13:48:42
Turbo,Galaxy Cinema,2024-09-18 17:35:18
Blackfish,CineLux,2024-09-13 12:28:20
Hella W,Regal Cinema,2024-09-20 13:14:37
Repo! The Genetic Opera,Grand View Cinema,2024-09-18 08:43:36
Lymelife,Starlight Theatre,2024-09-22 16:01:21
Shall We Dance?,Silver Screen Cinema,2024-09-07 15:12:01
Young Adult,Riviera Cinema,2024-08-31 21:20:40
Tinker Tailor Soldier Spy,CineLux,2024-09-03 19:57:16
Blood Moon,Galaxy Cinema,2024-09-18 21:16:05
Leaving Las Vegas,CineLux,2024-09-10 07:49:32
Sphere,Galaxy Cinema,2024-09-23 09:05:07
Pink Floyd: The Wall,CineStar Plaza,2024-09-15 12:32:36
Happy People: A Year in the Taiga,Regal Cinema,2024-09-12 20:07:06
Superman/Batman: Apocalypse,Regal Cinema,2024-09-13 10:51:58
Miss Bala,CineLux,2024-09-14 00:20:00
Red Dog,Starlight Theatre,2024-09-08 19:23:43
Predestination,Starlight Theatre,2024-09-14 13:28:48
Middle Men,Starlight Theatre,2024-09-14 21:54:01
Skyfall,Silver Screen Cinema,2024-09-05 06:15:03
Up,Galaxy Cinema,2024-09-24 14:15:35
She's Out of My League,CineLux,2024-09-15 11:56:00
English Vinglish,CineLux,2024-09-09 12:51:10
I'm Not There,Riviera Cinema,2024-09-12 13:47:10
Powder Blue,Riviera Cinema,2024-09-13 16:14:28
Notes on a Scandal,CineStar Plaza,2024-09-03 08:30:40
Arthur Christmas,Riviera Cinema,2024-09-16 13:15:40
World War Z,Galaxy Cinema,2024-09-14 02:49:59
Evangelion: 3.0 You Can (Not) Redo,Regal Cinema,2024-09-26 06:29:31
Jumping the Broom,Riviera Cinema,2024-09-18 22:46:33
Magic,Regal Cinema,2024-09-24 00:41:39
Python,Grand View Cinema,2024-09-14 05:38:14
Moon,Galaxy Cinema,2024-08-30 16:48:15
Dead Within,Starlight Theatre,2024-09-08 07:50:38
Natural Selection,Regal Cinema,2024-09-14 06:33:55
Magic Camp,Galaxy Cinema,2024-09-19 16:41:56
Brideshead Revisited,Grand View Cinema,2024-09-02 20:56:27
Bad Dreams,Riviera Cinema,2024-09-16 16:24:48
My Sister's Keeper,Galaxy Cinema,2024-09-04 10:01:20
Beautiful Thing,Galaxy Cinema,2024-09-17 14:58:58
Hellboy,CineLux,2024-09-19 18:03:08
Fallen,Grand View Cinema,2024-09-05 05:55:15
Big Bad Wolf,Riviera Cinema,2024-09-15 00:29:32
The Search for Santa Paws,CineLux,2024-09-02 11:29:52
Post Grad,Starlight Theatre,2024-09-15 11:59:50
Pitch Perfect,CineStar Plaza,2024-09-16 02:00:00
8 Mile,CineLux,2024-09-10 10:16:05
Gigantic,Riviera Cinema,2024-09-06 08:28:30
Juno,CineStar Plaza,2024-09-06 18:49:58
Tom and Jerry: The Movie,Grand View Cinema,2024-08-29 08:31:06
Predestination,Starlight Theatre,2024-09-05 06:54:53
Frank,Galaxy Cinema,2024-09-20 02:54:51
Sinbad: Legend of the Seven Seas,CineLux,2024-09-02 09:24:51
Larry Crowne,CineStar Plaza,2024-09-03 16:43:40
Punisher: War Zone,Regal Cinema,2024-09-15 11:24:13
Run,Silver Screen Cinema,2024-09-24 15:16:57
Our Idiot Brother,CineLux,2024-08-31 23:34:23
Rent,Regal Cinema,2024-09-13 05:34:55
Greed,Galaxy Cinema,2024-09-04 19:43:32
All About Anna,Riviera Cinema,2024-09-09 22:22:57
Fresh,Grand View Cinema,2024-09-03 16:13:46
Pink Ribbons, Inc.,Silver Screen Cinema,2024-09-04 10:53:32
Snow Day,Grand View Cinema,2024-09-22 14:58:55
Edge of Tomorrow,Grand View Cinema,2024-09-14 13:12:42
Hitchcock,CineStar Plaza,2024-09-14 14:58:14
Muhammad Ali's Greatest Fight,Silver Screen Cinema,2024-09-20 09:37:57
On Her Majesty's Secret Service,CineStar Plaza,2024-09-12 10:49:12
Call Me Kuchu,Galaxy Cinema,2024-09-09 01:14:26
Divergent,Silver Screen Cinema,2024-09-14 15:23:41
Wreck-It Ralph,Galaxy Cinema,2024-09-22 18:39:37
Faster,Regal Cinema,2024-09-10 15:49:37
Hella W,CineLux,2024-09-21 17:04:57
Down to the Bone,CineStar Plaza,2024-09-22 06:21:14
Kajaki,Galaxy Cinema,2024-09-01 11:00:58
Turbulence,Regal Cinema,2024-09-11 22:58:47
The Student,Grand View Cinema,2024-09-18 16:38:55
Dan in Real Life,Silver Screen Cinema,2024-09-05 09:23:21
Heaven Is for Real,Silver Screen Cinema,2024-09-09 23:30:32
Ice Age: Dawn of the Dinosaurs,CineStar Plaza,2024-08-29 10:23:56
Eastern Promises,Galaxy Cinema,2024-09-17 21:51:12
Diner,Silver Screen Cinema,2024-08-29 06:13:52
Descent,Silver Screen Cinema,2024-09-18 15:29:30
Star Trek: The Motion Picture,Starlight Theatre,2024-09-07 19:54:41
You Kill Me,Silver Screen Cinema,2024-09-22 21:54:00
Prayers for Bobby,Starlight Theatre,2024-09-16 17:37:07
Hunk,Silver Screen Cinema,2024-09-18 05:26:06
Ping Pong,Grand View Cinema,2024-09-16 10:41:49
Whale Rider,Silver Screen Cinema,2024-09-01 00:08:55
Frankenstein's Army,Silver Screen Cinema,2024-09-16 13:35:19
Charlie's Angels: Full Throttle,CineStar Plaza,2024-09-05 16:14:46
New Town Killers,CineLux,2024-09-17 03:53:51
Christmas Eve,Starlight Theatre,2024-09-11 04:52:14
30 Minutes or Less,Riviera Cinema,2024-09-17 14:29:07
Quick Change,CineStar Plaza,2024-09-23 14:18:06
Natural Selection,Riviera Cinema,2024-09-09 22:33:51
Python,Galaxy Cinema,2024-09-03 10:25:41
Jindabyne,Riviera Cinema,2024-09-02 03:47:59
Welcome to Dongmakgol,Galaxy Cinema,2024-08-29 21:35:51
Your Sister's Sister,Grand View Cinema,2024-09-22 01:54:36
Colombiana,CineStar Plaza,2024-09-03 22:33:41
Moon,CineLux,2024-09-13 13:54:14
Kung Fu Panda 2,CineLux,2024-09-04 22:36:29
Fun,CineLux,2024-09-04 12:05:18
Birdemic: Shock and Terror,CineStar Plaza,2024-09-25 17:35:57
Preaching to the Perverted,CineStar Plaza,2024-09-24 06:08:01
Blazing Saddles,Galaxy Cinema,2024-09-26 23:14:50
Rings,Regal Cinema,2024-09-23 14:40:52
Gigli,CineStar Plaza,2024-09-23 13:33:53
Scott Pilgrim vs. the World,Silver Screen Cinema,2024-09-22 17:25:54
Meet Bill,Grand View Cinema,2024-09-08 05:34:24
Cars,CineLux,2024-09-04 17:35:02
Night at the Museum,CineStar Plaza,2024-09-16 11:40:11
Beginners,Riviera Cinema,2024-09-06 15:34:36
The Identical,CineStar Plaza,2024-09-10 12:24:29
'Twas the Night Before Christmas,CineStar Plaza,2024-09-17 00:47:26
Genghis Khan,Riviera Cinema,2024-09-20 06:48:43
Dog Pound,Starlight Theatre,2024-09-10 03:11:01
Batman: Year One,Galaxy Cinema,2024-09-20 03:16:44
My Little Pony: Equestria Girls,CineLux,2024-09-11 04:32:18
Up,Regal Cinema,2024-09-15 15:09:00
R100,Starlight Theatre,2024-09-12 09:49:46
Inside Man,Grand View Cinema,2024-09-07 15:24:46
I Know Who Killed Me,CineStar Plaza,2024-09-20 22:14:27
100 Feet,CineLux,2024-09-26 08:32:55
No One Lives,CineStar Plaza,2024-09-15 13:14:17
Beautiful Kate,Grand View Cinema,2024-08-29 13:42:40
Precious,Galaxy Cinema,2024-09-20 10:54:14
Shaun of the Dead,Regal Cinema,2024-09-10 08:54:28
After the Sunset,Starlight Theatre,2024-09-12 02:05:34
Pariah,Silver Screen Cinema,2024-09-11 17:29:31
Shattered,Silver Screen Cinema,2024-09-20 20:58:11
Night at the Museum: Battle of the Smithsonian,Riviera Cinema,2024-09-16 14:42:48
Urbanized,Galaxy Cinema,2024-09-25 17:29:24
Bachelor Night,Grand View Cinema,2024-09-20 11:29:40
Re-Animator,Galaxy Cinema,2024-09-08 14:41:34
Pete's Dragon,Galaxy Cinema,2024-09-12 18:39:22
L!fe Happens,Riviera Cinema,2024-09-20 06:01:25
Bride Wars,Silver Screen Cinema,2024-09-03 00:34:09
Despicable Me,Starlight Theatre,2024-09-09 01:56:19
Lucky You,Silver Screen Cinema,2024-09-08 09:36:27
Shotgun Stories,Galaxy Cinema,2024-08-31 00:09:03
Kill the Irishman,CineLux,2024-09-07 11:57:12
In the Land of Women,Galaxy Cinema,2024-08-31 01:48:24
Tangled,Regal Cinema,2024-09-12 00:57:37
Faster,CineStar Plaza,2024-09-13 07:40:09
Letters to God,Riviera Cinema,2024-09-15 07:06:31
Inherent Vice,Riviera Cinema,2024-08-31 09:56:04
Special When Lit,CineLux,2024-09-05 01:51:31
Best in Show,CineStar Plaza,2024-09-06 09:25:56
Gigli,Silver Screen Cinema,2024-08-30 06:02:27
Live and Let Die,Regal Cinema,2024-09-05 17:10:15
Belle,Silver Screen Cinema,2024-09-22 20:58:08
Food Matters,CineLux,2024-09-26 07:46:06
Indie Game: The Movie,Grand View Cinema,2024-09-26 23:12:16
Dirty Girl,Silver Screen Cinema,2024-09-22 01:43:00
The Island,Silver Screen Cinema,2024-09-01 08:47:05
Descent,Silver Screen Cinema,2024-09-24 20:32:03
Maybe Baby,Silver Screen Cinema,2024-09-19 04:42:32
Pirates of the Caribbean: Dead Man's Chest,Silver Screen Cinema,2024-09-15 09:13:24
Harry Potter and the Deathly Hallows: Part 1,CineLux,2024-09-24 14:00:20
Drive,Grand View Cinema,2024-09-09 16:15:58
Religulous,CineStar Plaza,2024-09-13 09:43:38
Edge of Tomorrow,Starlight Theatre,2024-09-11 23:40:25
Superman IV: The Quest for Peace,Grand View Cinema,2024-09-03 20:18:00
Knocked Up,Grand View Cinema,2024-08-31 08:14:42
Quantum of Solace,Regal Cinema,2024-09-02 03:03:26
Time Changer,CineLux,2024-09-04 03:13:24
Some Like It Hot,CineStar Plaza,2024-09-26 15:54:51
X-Men: First Class,Starlight Theatre,2024-09-10 20:04:19
Detention of the Dead,Starlight Theatre,2024-09-02 13:08:38
Dance of the Dead,Galaxy Cinema,2024-08-29 01:03:33
Travellers and Magicians,Galaxy Cinema,2024-09-11 04:32:52
Survival of the Dead,CineLux,2024-09-21 22:17:09
Kabluey,Galaxy Cinema,2024-09-03 20:39:42
Blindness,Galaxy Cinema,2024-09-02 13:50:28
Paranormal Activity,Galaxy Cinema,2024-09-13 10:52:20
Trick 'r Treat,Regal Cinema,2024-09-08 10:40:32
Toy Story 2,Galaxy Cinema,2024-09-14 20:59:07
Travelling Salesman,CineStar Plaza,2024-09-21 13:42:39
I Really Hate My Job,Galaxy Cinema,2024-09-07 09:57:17
Bruiser,Riviera Cinema,2024-09-14 18:34:54
Picnic at Hanging Rock,Regal Cinema,2024-09-26 11:24:43
Taxidermia,Galaxy Cinema,2024-09-09 10:31:40
Postal,Riviera Cinema,2024-09-15 23:26:35
Life According to Sam,Starlight Theatre,2024-09-02 14:30:56
Son of Rambow,Grand View Cinema,2024-09-24 13:28:58
Happy Endings,Starlight Theatre,2024-09-22 12:06:57
The Forest,Regal Cinema,2024-09-07 10:03:59
Extract,Regal Cinema,2024-09-14 17:31:20
Silent Hill,Starlight Theatre,2024-09-16 12:00:28
Starry Eyes,Galaxy Cinema,2024-09-15 17:43:37
Touchy Feely,Silver Screen Cinema,2024-09-16 20:16:06
Bolt,CineStar Plaza,2024-09-15 18:38:34
Cropsey,Regal Cinema,2024-09-22 23:07:39
How the West Was Won,Galaxy Cinema,2024-09-24 09:56:45
More Than Honey,Starlight Theatre,2024-09-25 02:45:44
Batman: Year One,Silver Screen Cinema,2024-08-30 11:32:36
Born to Race,Grand View Cinema,2024-09-04 11:00:25
Max Payne,Regal Cinema,2024-09-08 12:01:47
Aliens,CineLux,2024-09-18 01:10:35
Underdog,Galaxy Cinema,2024-09-05 07:39:02
Halloween III: Season of the Witch,Grand View Cinema,2024-09-17 00:54:30
The Losers,Regal Cinema,2024-09-08 00:19:41
Rocket Singh: Salesman of the Year,Galaxy Cinema,2024-09-25 17:07:35
Deuces Wild,CineStar Plaza,2024-09-01 06:46:45
Flesh & Blood,CineLux,2024-09-20 21:05:45
Sphere,Galaxy Cinema,2024-09-16 19:20:36
Piggy,CineLux,2024-09-25 17:41:30
Kabluey,Riviera Cinema,2024-09-16 08:42:31
Sita Sings the Blues,Riviera Cinema,2024-09-16 05:23:12
Skellig,Grand View Cinema,2024-08-30 09:28:53
Art and Craft,Riviera Cinema,2024-09-14 14:18:03
Time Changer,Silver Screen Cinema,2024-09-16 23:51:33
Midnight Express,CineLux,2024-09-10 06:05:54
